museum_name,day_of_week,day_num,hour,hour_display,busy_index
Vasamuseet,Monday,1,9,09:00,0
Vasamuseet,Monday,1,10,10:00,23
Vasamuseet,Monday,1,11,11:00,24
Vasamuseet,Monday,1,12,12:00,45
Vasamuseet,Monday,1,13,13:00,62
Vasamuseet,Monday,1,14,14:00,64
Vasamuseet,Monday,1,15,15:00,44
Vasamuseet,Monday,1,16,16:00,40
Vasamuseet,Monday,1,17,17:00,0
Vasamuseet,Monday,1,18,18:00,0
Vasamuseet,Monday,1,19,19:00,0
Vasamuseet,Monday,1,20,20:00,0
Vasamuseet,Tuesday,2,9,09:00,0
Vasamuseet,Tuesday,2,10,10:00,13
Vasamuseet,Tuesday,2,11,11:00,30
Vasamuseet,Tuesday,2,12,12:00,32
Vasamuseet,Tuesday,2,13,13:00,60
Vasamuseet,Tuesday,2,14,14:00,60
Vasamuseet,Tuesday,2,15,15:00,40
Vasamuseet,Tuesday,2,16,16:00,21
Vasamuseet,Tuesday,2,17,17:00,0
Vasamuseet,Tuesday,2,18,18:00,0
Vasamuseet,Tuesday,2,19,19:00,0
Vasamuseet,Tuesday,2,20,20:00,0
Vasamuseet,Wednesday,3,9,09:00,0
Vasamuseet,Wednesday,3,10,10:00,8
Vasamuseet,Wednesday,3,11,11:00,30
Vasamuseet,Wednesday,3,12,12:00,36
Vasamuseet,Wednesday,3,13,13:00,50
Vasamuseet,Wednesday,3,14,14:00,72
Vasamuseet,Wednesday,3,15,15:00,39
Vasamuseet,Wednesday,3,16,16:00,44
Vasamuseet,Wednesday,3,17,17:00,0
Vasamuseet,Wednesday,3,18,18:00,0
Vasamuseet,Wednesday,3,19,19:00,0
Vasamuseet,Wednesday,3,20,20:00,0
Vasamuseet,Thursday,4,9,09:00,0
Vasamuseet,Thursday,4,10,10:00,36
Vasamuseet,Thursday,4,11,11:00,47
Vasamuseet,Thursday,4,12,12:00,58
Vasamuseet,Thursday,4,13,13:00,64
Vasamuseet,Thursday,4,14,14:00,68
Vasamuseet,Thursday,4,15,15:00,56
Vasamuseet,Thursday,4,16,16:00,24
Vasamuseet,Thursday,4,17,17:00,0
Vasamuseet,Thursday,4,18,18:00,0
Vasamuseet,Thursday,4,19,19:00,0
Vasamuseet,Thursday,4,20,20:00,0
Vasamuseet,Friday,5,9,09:00,0
Vasamuseet,Friday,5,10,10:00,19
Vasamuseet,Friday,5,11,11:00,31
Vasamuseet,Friday,5,12,12:00,43
Vasamuseet,Friday,5,13,13:00,55
Vasamuseet,Friday,5,14,14:00,51
Vasamuseet,Friday,5,15,15:00,43
Vasamuseet,Friday,5,16,16:00,20
Vasamuseet,Friday,5,17,17:00,0
Vasamuseet,Friday,5,18,18:00,0
Vasamuseet,Friday,5,19,19:00,0
Vasamuseet,Friday,5,20,20:00,0
Vasamuseet,Saturday,6,9,09:00,0
Vasamuseet,Saturday,6,10,10:00,40
Vasamuseet,Saturday,6,11,11:00,55
Vasamuseet,Saturday,6,12,12:00,59
Vasamuseet,Saturday,6,13,13:00,82
Vasamuseet,Saturday,6,14,14:00,78
